Name,Points,Season
Bayern Monaco,82,2019-2020
Borussia Dortmund,69,2019-2020
RB Lipsia,66,2019-2020
Borussia M'gladbach,65,2019-2020
Bayer Leverkusen,63,2019-2020
Hoffenheim,52,2019-2020
Wolfsburg,49,2019-2020
Friburgo,48,2019-2020
Eintracht Francoforte,45,2019-2020
Hertha Berlino,41,2019-2020
Union Berlino,41,2019-2020
Schalke 04,39,2019-2020
Magonza,37,2019-2020
Colonia,36,2019-2020
Augusta,36,2019-2020
Werder Brema,31,2019-2020
Fortuna Düsseldorf,30,2019-2020
Paderborn,20,2019-2020
Bayern Monaco,78,2020-2021
RB Lipsia,65,2020-2021
Borussia Dortmund,64,2020-2021
Wolfsburg,61,2020-2021
Eintracht Francoforte,60,2020-2021
Bayer Leverkusen,52,2020-2021
Union Berlino,50,2020-2021
Borussia M'gladbach,49,2020-2021
Stoccarda,45,2020-2021
Friburgo,45,2020-2021
Hoffenheim,41,2020-2021
Magonza,39,2020-2021
Augusta,36,2020-2021
Hertha Berlino,35,2020-2021
Arminia Bielefeld,35,2020-2021
Colonia,33,2020-2021
Werder Brema,31,2020-2021
Schalke 04,16,2020-2021
Bayern Monaco,77,2021-2022
Borussia Dortmund,69,2021-2022
Bayer Leverkusen,64,2021-2022
RB Lipsia,58,2021-2022
Union Berlino,57,2021-2022
Friburgo,55,2021-2022
Colonia,52,2021-2022
Magonza,46,2021-2022
Hoffenheim,46,2021-2022
Borussia M'gladbach,45,2021-2022
Eintracht Francoforte,42,2021-2022
Wolfsburg,42,2021-2022
Bochum,42,2021-2022
Augusta,38,2021-2022
Stoccarda,33,2021-2022
Hertha Berlino,33,2021-2022
Arminia Bielefeld,28,2021-2022
Greuther Fürth,18,2021-2022
Bayern Monaco[12],71,2022-2023
Borussia Dortmund,71,2022-2023
RB Lipsia,66,2022-2023
Union Berlino,62,2022-2023
Friburgo,59,2022-2023
Bayer Leverkusen,50,2022-2023
Eintracht Francoforte,50,2022-2023
Wolfsburg,49,2022-2023
Magonza,46,2022-2023
Borussia M'gladbach,43,2022-2023
Colonia,42,2022-2023
Hoffenheim,36,2022-2023
Werder Brema,36,2022-2023
Bochum,35,2022-2023
Augusta,34,2022-2023
Stoccarda,33,2022-2023
Schalke 04,31,2022-2023
Hertha Berlino,29,2022-2023
Bayer Leverkusen,90,2023-2024
Stoccarda,73,2023-2024
Bayern Monaco,72,2023-2024
RB Lipsia,65,2023-2024
Borussia Dortmund,63,2023-2024
Eintracht Francoforte,47,2023-2024
Hoffenheim,46,2023-2024
Heidenheim,42,2023-2024
Werder Brema,42,2023-2024
Friburgo,42,2023-2024
Augusta,39,2023-2024
Wolfsburg,37,2023-2024
Magonza,35,2023-2024
Borussia M'gladbach,34,2023-2024
Union Berlino,33,2023-2024
Bochum,33,2023-2024
Colonia,27,2023-2024
Darmstadt,17,2023-2024
